"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CSRNP1",3.0529725293383e-05,0.293467742274888,0.697,0.484,0.443535849062268,"1","CSRNP1"
"FILIP1L",3.3465586293826e-05,0.428737454949012,0.353,0.193,0.486188037676704,"1","FILIP1L"
"VTI1B",3.44267698748399e-05,0.251768492146718,0.328,0.168,0.500152112741674,"1","VTI1B"
"ASAH1",4.52541189975578e-05,0.343782182305972,0.454,0.3,0.657451840796519,"1","ASAH1"
"UACA",5.06033888329218e-05,0.303335023654615,0.597,0.407,0.735166032964688,"1","UACA"
"STAT3",5.16227533110857e-05,0.327260701651492,0.832,0.684,0.749975360103452,"1","STAT3"
"JUNB",5.79671677275944e-05,0.291896796639596,1,0.984,0.842147012746492,"1","JUNB"
"RAB31",6.09094790125753e-05,0.266135539701695,0.37,0.206,0.884892911094693,"1","RAB31"
"ATP5A1",6.37771155537427e-05,0.290932755727568,0.647,0.483,0.926553934764774,"1","ATP5A1"
"ZFP36",6.63018917293543e-05,0.275859574402025,0.983,0.932,0.96323388304406,"1","ZFP36"
"RARRES2",7.09930439627673e-05,0.268741570750431,0.311,0.16,1,"1","RARRES2"
"UBE2E1",7.25626095260626e-05,0.290299089085765,0.403,0.249,1,"1","UBE2E1"
"MT-CO2",8.40228060783066e-05,0.340447712179566,1,1,1,"1","MT-CO2"
"SOCS3",9.23290929430366e-05,0.278681126794534,0.975,0.895,1,"1","SOCS3"
"TLN1",9.74468029875445e-05,0.297957911909876,0.496,0.338,1,"1","TLN1"
"YWHAQ",0.00011862297864632,0.267653201453184,0.773,0.585,1,"1","YWHAQ"
"GSTP1",0.000123410275379026,0.272355649789743,0.975,0.794,1,"1","GSTP1"
"TNS1",0.000129015580815127,0.302702246525937,0.395,0.242,1,"1","TNS1"
"DLC1",0.000146654719202817,0.28836308266023,0.546,0.379,1,"1","DLC1"
"C6orf48",0.000147311473131808,0.304673160658374,0.655,0.488,1,"1","C6orf48"
"LPP",0.000173206266290073,0.349292968773832,0.563,0.43,1,"1","LPP"
"CDKN1A",0.00017852635563828,0.338936371629471,0.916,0.797,1,"1","CDKN1A"
"ARID5B",0.000332799851040005,0.32499738153413,0.555,0.402,1,"1","ARID5B"
"TIMP1",0.000372897625127725,0.490710952377194,0.933,0.835,1,"1","TIMP1"
"EPHX1",0.000380717514685592,0.283931572263492,0.479,0.313,1,"1","EPHX1"
"H1F0",0.000421121015239114,0.330735069476138,0.37,0.239,1,"1","H1F0"
"HMGN3",0.000472040456168517,0.26115958897056,0.731,0.567,1,"1","HMGN3"
"JUND",0.000528131778252844,0.266758868741804,0.924,0.786,1,"1","JUND"
"AP2M1",0.000547987868959761,0.296287158925362,0.832,0.68,1,"1","AP2M1"
"TMEM14C",0.000571295745466639,0.266732264679983,0.538,0.377,1,"1","TMEM14C"
"SLC12A2",0.00057673847366164,0.272928143493858,0.395,0.254,1,"1","SLC12A2"
"MTDH",0.000720977280924899,0.29894564059412,0.824,0.7,1,"1","MTDH"
"NDUFS7",0.000731233063024821,0.259054252726387,0.563,0.417,1,"1","NDUFS7"
"CHURC1",0.000743038804403064,0.314168813716308,0.496,0.362,1,"1","CHURC1"
"FLNA",0.000777542264800105,0.311719719453293,0.504,0.359,1,"1","FLNA"
"ISCU",0.000947061582466623,0.283096226072375,0.605,0.501,1,"1","ISCU"
"BRD2",0.000975999908062786,0.272854512185454,0.773,0.601,1,"1","BRD2"
"GLA",0.00117312280723523,0.254903238160243,0.328,0.198,1,"1","GLA"
"KLF9",0.00118573666176955,0.305516190791246,0.454,0.326,1,"1","KLF9"
"ZBTB20",0.001261560404134,0.250687766097409,0.387,0.257,1,"1","ZBTB20"
"ATP1B3",0.00135787819250347,0.341084772914019,0.655,0.547,1,"1","ATP1B3"
"ANKRD11",0.00168654884586385,0.261335857894632,0.487,0.346,1,"1","ANKRD11"
"SYNE2",0.00187153648789486,0.290673552461835,0.529,0.423,1,"1","SYNE2"
"CHD4",0.00215091646206152,0.254519627688436,0.445,0.315,1,"1","CHD4"
"EEF1D",0.00216706244177321,0.2526049690917,1,0.975,1,"1","EEF1D"
"ILK",0.00224214950628478,0.297883060682003,0.403,0.29,1,"1","ILK"
"ZC3HAV1",0.00233704346835776,0.335189798323109,0.613,0.489,1,"1","ZC3HAV1"
"RRAS",0.0026592667357114,0.282154637288215,0.353,0.237,1,"1","RRAS"
"NDUFS8",0.0027733585648849,0.256407560399585,0.513,0.394,1,"1","NDUFS8"
"DDAH2",0.00284112592980358,0.274860075972611,0.571,0.451,1,"1","DDAH2"
"MGLL",0.00296875136585708,0.299204642307657,0.571,0.451,1,"1","MGLL"
"FILIP1",0.00317466938005348,0.263272101697399,0.597,0.461,1,"1","FILIP1"
"AURKAIP1",0.0035234990493019,0.286731074521388,0.597,0.489,1,"1","AURKAIP1"
"UTRN",0.00357642209370156,0.299143210510467,0.697,0.565,1,"1","UTRN"
"ARPC1A",0.00439886649652125,0.286331910122072,0.513,0.414,1,"1","ARPC1A"
"H2AFZ",0.00547376514268194,0.293357051870164,0.924,0.784,1,"1","H2AFZ"
"WHSC1L1",0.00865063574058455,0.263721189651497,0.361,0.267,1,"1","WHSC1L1"
"PDLIM7",0.0088032660358282,0.300886393497177,0.353,0.257,1,"1","PDLIM7"
