"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"APOB",0,1.89060665917943,0.685,0.034,0,"1","APOB"
"KRT8",0,1.84269844098027,0.818,0.098,0,"1","KRT8"
"AZGP1",0,1.79673728233657,0.619,0.026,0,"1","AZGP1"
"GATM",0,1.74807752577606,0.641,0.053,0,"1","GATM"
"DCXR",0,1.71680848481488,0.837,0.178,0,"1","DCXR"
"CYP3A5",0,1.71549015483802,0.587,0.03,0,"1","CYP3A5"
"SERPINA5",0,1.51066017014223,0.707,0.024,0,"1","SERPINA5"
"SERINC2",0,1.39436917341658,0.723,0.035,0,"1","SERINC2"
"ASGR2",0,1.35210698553022,0.678,0.022,0,"1","ASGR2"
"CPS1",0,1.32696658643744,0.547,0.024,0,"1","CPS1"
"TSPAN8",0,1.29654018581738,0.565,0.024,0,"1","TSPAN8"
"C4BPB",0,1.28218799364677,0.599,0.027,0,"1","C4BPB"
"CPB2",0,1.23173107310349,0.5,0.011,0,"1","CPB2"
"TM7SF2",0,1.23169936676453,0.589,0.035,0,"1","TM7SF2"
"PROC",0,0.949684188411605,0.516,0.014,0,"1","PROC"
"GOLT1A",9.81250651167112e-303,0.78747005580092,0.5,0.014,1.85613373174771e-298,"1","GOLT1A"
"REEP6",5.82944181879313e-302,1.03112042002892,0.534,0.025,1.10269721444291e-297,"1","REEP6"
"C8G",1.98996443111394e-301,1.3864342589595,0.537,0.028,3.76421671789513e-297,"1","C8G"
"SERPINA6",8.24385490050014e-301,1.21320231674836,0.516,0.02,1.55940759297861e-296,"1","SERPINA6"
"BNIP3",8.31180960152838e-301,1.80403796345144,0.763,0.125,1.57226190422511e-296,"1","BNIP3"
"MPST",2.17104375516099e-300,1.33085521314677,0.767,0.137,4.10674636726252e-296,"1","MPST"
"UQCRQ",5.21155239416915e-297,2.09404317367161,0.976,0.67,9.85817250881037e-293,"1","UQCRQ"
"ANGPTL8",8.1425964537797e-297,2.1748281513204,0.504,0.017,1.54025354519697e-292,"1","ANGPTL8"
"CFHR1",1.04500072553055e-294,1.71633179161021,0.467,0.01,1.97672337241359e-290,"1","CFHR1"
"SERPINF2",1.57420215991036e-294,0.988626379184376,0.527,0.026,2.97776080568643e-290,"1","SERPINF2"
"CP",8.99851666572074e-293,1.32885679327997,0.527,0.027,1.70215941248774e-288,"1","CP"
"TSTD1",2.13057608116948e-292,1.35648516776491,0.766,0.127,4.03019771514019e-288,"1","TSTD1"
"PXMP2",4.98395455959767e-290,1.00807364849962,0.597,0.051,9.42764844493495e-286,"1","PXMP2"
"HMGCS2",5.95716060695725e-290,1.14576086942184,0.48,0.015,1.12685650041203e-285,"1","HMGCS2"
"SLPI",8.16417550639764e-287,1.16986522194774,0.499,0.02,1.54433543879018e-282,"1","SLPI"
"TDO2",2.14055231883492e-286,1.4092723747421,0.534,0.031,4.04906876630813e-282,"1","TDO2"
"DNPH1",1.15877107697702e-283,1.43034423241459,0.78,0.165,2.19193136920973e-279,"1","DNPH1"
"DDT",1.35763742892388e-282,2.14767159442208,0.923,0.386,2.56810696055242e-278,"1","DDT"
"LBP",4.89154740828426e-281,1.10322275027208,0.483,0.017,9.2528510775105e-277,"1","LBP"
"GJB1",1.21924423112149e-279,0.778707565091264,0.452,0.011,2.30632238758941e-275,"1","GJB1"
"SPINK1",1.5112311172743e-279,2.33957169159862,0.545,0.035,2.85864478143607e-275,"1","SPINK1"
"HULC",1.47033940723971e-278,2.06102923447865,0.482,0.02,2.78129402273463e-274,"1","HULC"
"STARD10",1.50913637215247e-276,1.01222883802625,0.577,0.05,2.85468236156361e-272,"1","STARD10"
"SLC2A2",2.25328538306869e-276,0.852555882703856,0.456,0.012,4.26231463061274e-272,"1","SLC2A2"
"PAH",3.5225285559774e-276,0.839638854971806,0.462,0.014,6.66321501648685e-272,"1","PAH"
"A1CF",1.59718987992458e-274,0.732851174212334,0.438,0.009,3.02124437686533e-270,"1","A1CF"
"SEPP1",3.53953223173521e-272,2.12576994979754,0.953,0.422,6.69537916955032e-268,"1","SEPP1"
"HPN",3.95045264093405e-271,0.771945133517706,0.428,0.008,7.47267621559086e-267,"1","HPN"
"MPC2",2.63447159325189e-269,1.56657836486225,0.834,0.248,4.98336646579528e-265,"1","MPC2"
"FTL",6.2428650022435e-267,2.28028334464246,1,0.996,1.18090034382438e-262,"1","FTL"
"HINT1",5.49250014869711e-266,1.5637128956725,0.989,0.782,1.03896132812755e-261,"1","HINT1"
"APOM",8.98448926843724e-266,0.974313981669678,0.491,0.026,1.69950599001759e-261,"1","APOM"
"FUOM",6.64554875125974e-265,1.05693441306372,0.625,0.075,1.25707200178829e-260,"1","FUOM"
"APOC3",1.21921655215291e-262,4.9808668535948,0.882,0.381,2.30627003005245e-258,"1","APOC3"
"HPX",2.04686858776129e-262,2.30960065150318,0.554,0.053,3.87185662060926e-258,"1","HPX"
"P4HB",2.98130004210847e-262,1.92115433436851,0.946,0.512,5.63942715965239e-258,"1","P4HB"
"GCHFR",1.52375272610212e-259,1.13944877492166,0.636,0.081,2.88233065669478e-255,"1","GCHFR"
